feature,importance
base__ecfp_1489,0.0
base__ecfp_1488,0.0
base__ecfp_1487,0.0
base__ecfp_1486,0.0
base__ecfp_1485,0.0
base__ecfp_1484,0.0
base__ecfp_1483,0.0
base__ecfp_1482,0.0
base__ecfp_1481,0.0
base__ecfp_1506,0.0
base__ecfp_1508,0.0
base__ecfp_1532,0.0
base__ecfp_1521,0.0
base__ecfp_1531,0.0
base__ecfp_1530,0.0
base__ecfp_1529,0.0
base__ecfp_1528,0.0
base__ecfp_1527,0.0
base__ecfp_1526,0.0
base__ecfp_1525,0.0
base__ecfp_1524,0.0
base__ecfp_1523,0.0
base__ecfp_1522,0.0
base__ecfp_1439,0.0
base__ecfp_1509,0.0
base__ecfp_1520,0.0
base__ecfp_1519,0.0
base__ecfp_1518,0.0
base__ecfp_1517,0.0
base__ecfp_1516,0.0
base__ecfp_1515,0.0
base__ecfp_1513,0.0
base__ecfp_44,0.0
base__ecfp_1511,0.0
base__ecfp_1510,0.0
base__ecfp_1440,0.0
base__ecfp_1377,0.0
base__ecfp_1438,0.0
base__ecfp_1291,0.0
base__ecfp_1289,0.0
base__ecfp_1288,0.0
base__ecfp_1287,0.0
base__ecfp_1286,0.0
base__ecfp_1285,0.0
base__ecfp_1284,0.0
base__ecfp_1282,0.0
base__ecfp_1281,0.0
base__ecfp_1280,0.0
base__ecfp_1279,0.0
base__ecfp_1278,0.0
base__ecfp_1277,0.0
base__ecfp_1276,0.0
base__ecfp_1273,0.0
base__ecfp_55,0.0
base__ecfp_1270,0.0
base__ecfp_56,0.0
base__ecfp_1268,0.0
base__ecfp_1267,0.0
base__ecfp_1266,0.0
base__ecfp_1265,0.0
base__ecfp_1264,0.0
base__ecfp_1263,0.0
base__ecfp_1290,0.0
base__ecfp_1293,0.0
base__ecfp_1261,0.0
base__ecfp_1294,0.0
base__ecfp_1318,0.0
base__ecfp_1317,0.0
base__ecfp_1316,0.0
base__ecfp_1315,0.0
base__ecfp_1314,0.0
base__ecfp_1313,0.0
base__ecfp_1312,0.0
base__ecfp_1311,0.0
base__ecfp_1310,0.0
base__ecfp_1309,0.0
base__ecfp_1308,0.0
base__ecfp_1307,0.0
base__ecfp_1306,0.0
base__ecfp_1305,0.0
base__ecfp_1304,0.0
base__ecfp_1303,0.0
base__ecfp_1302,0.0
base__ecfp_1301,0.0
base__ecfp_1300,0.0
base__ecfp_1299,0.0
